"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Missouri,"$2,915","$2,992","$3,015","$3,086","$3,016","$3,074","$3,036","$3,107","$3,234","$3,280","$3,315","$3,434","$3,480","$3,627","$3,647","$3,780",4%,14%,,"$8,039","$8,234","$8,228","$8,431","$8,431","$8,596","$8,557","$8,728","$8,898","$8,889","$9,040","$9,196","$9,199","$8,909","$8,806","$9,022",2%,0%
Montana,"$3,205","$3,243","$3,243","$3,412","$3,387","$3,548","$3,565","$3,468","$3,465","$3,481","$3,418","$3,494","$3,538","$3,815","$3,780","$3,796",0%,11%,,"$6,053","$6,458","$6,629","$6,531","$6,224","$6,535","$6,605","$6,679","$6,893","$6,838","$6,774","$6,828","$6,857","$7,243","$7,230","$7,204",0%,6%
Nebraska,"$2,388","$2,450","$2,538","$2,654","$2,613","$2,733","$2,839","$2,829","$2,913","$2,939","$2,976","$3,111","$3,191","$3,239","$3,236","$3,271",1%,10%,,"$6,394","$6,962","$6,593","$6,874","$6,947","$7,427","$7,767","$7,843","$8,045","$8,034","$7,900","$8,179","$8,416","$8,689","$8,682","$8,745",1%,11%
Nevada,"$2,154","$2,157","$2,137","$2,172","$2,241","$2,409","$2,640","$2,854","$3,024","$2,966","$2,908","$3,016","$3,103","$3,375","$3,464","$3,543",2%,22%,,"$3,893","$3,964","$4,596","$4,863","$5,129","$5,413","$6,259","$6,863","$7,156","$7,015","$6,921","$7,161","$7,367","$7,683","$7,805","$7,953",2%,15%
New Hampshire,"$6,340","$6,807","$6,599","$6,909","$6,540","$7,020","$7,380","$7,636","$7,544","$7,397","$7,013","$7,001","$6,965","$7,169","$7,224","$7,095",-2%,1%,,"$10,952","$11,271","$11,507","$11,945","$12,006","$13,195","$14,059","$15,334","$16,367","$16,093","$15,864","$16,298","$16,738","$16,854","$16,859","$16,916",0%,7%
New Jersey,"$3,796","$3,870","$4,019","$4,172","$4,141","$4,520","$4,616","$4,669","$4,659","$4,686","$4,782","$4,945","$5,034","$5,104","$5,127","$5,218",2%,9%,,"$10,809","$11,294","$11,764","$12,285","$12,537","$13,264","$13,709","$13,662","$13,906","$13,974","$14,005","$14,305","$14,460","$14,527","$14,441","$14,536",1%,4%
New Mexico,"$1,409","$1,468","$1,389","$1,408","$1,337","$1,439","$1,559","$1,702","$1,784","$1,774","$1,782","$1,780","$1,828","$1,845","$1,875","$1,859",-1%,4%,,"$5,295","$5,577","$5,114","$5,232","$5,272","$5,702","$6,035","$6,172","$6,359","$6,547","$6,628","$6,887","$7,075","$7,253","$7,256","$7,432",2%,12%
New York,"$4,432","$4,442","$4,362","$4,369","$4,261","$4,612","$4,662","$4,830","$4,987","$5,073","$5,224","$5,486","$5,537","$5,608","$5,594","$5,634",1%,8%,,"$6,703","$6,573","$6,356","$6,252","$5,973","$6,839","$6,818","$7,046","$7,349","$7,608","$7,854","$8,219","$8,221","$8,312","$8,307","$8,434",2%,7%
North Carolina,"$1,619","$1,635","$1,585","$1,652","$1,575","$1,906","$2,090","$2,351","$2,421","$2,475","$2,477","$2,502","$2,589","$2,557","$2,501","$2,449",-2%,-1%,,"$4,831","$4,799","$5,128","$5,304","$5,122","$5,408","$6,264","$6,461","$6,944","$7,157","$7,186","$7,493","$7,675","$7,735","$7,359","$7,281",-1%,1%
North Dakota,"$4,064","$4,254","$4,166","$4,256","$4,476","$4,620","$4,566","$4,459","$4,445","$4,509","$4,514","$4,737","$4,723","$4,821","$4,905","$4,989",2%,11%,,"$6,240","$6,662","$6,949","$7,148","$7,123","$7,548","$7,731","$7,792","$7,846","$7,989","$8,092","$8,265","$8,412","$8,584","$8,826","$9,289",5%,15%
